الهدف الاستراتيجي,المبادرة الاستراتيجية,الإدارة/القسم,المشروع التشغيلي,مؤشر القياس,المستهدف,المنجز,نسبة إنجاز المؤشر,نسبة إنجاز المشروع
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,مشروع دراسة احتياجات المستفيدين,إدارة البحث والتطوير,مشروع تطوير دراسة احتياجات ضيوف الرحمن,نسبة الإنجاز في مراحل الدراسة,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول,غير مجدول في النصف الأول
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,برنامج الشراكات البحثية والتطويرية,إدارة البحث والتطوير,مشروع تطوير معايير التجربة  لضيوف الرحمن,عدد المقارنات المرجعية التي تم إجراؤها مع جهات معتمدة,1,0,0.0%,0%
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,مشروع تطوير منهجية قياس الأثر,إدارة البحث والتطوير,قياس وإدارة الأثر,نسبة اكتمال الدليل واعتماده,100%,100%,100%,50%
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,مشروع تطوير منهجية قياس الأثر,إدارة البحث والتطوير,قياس وإدارة الأثر,تقرير قياس الأثر,1,0,0%,50%
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,برنامج العناية والرعاية الشاملة,إدارة المشاريع وخدمات المستفيدين,السقيا,عدد عبوات الزمزم التي تم توزيعها,282000,169728,60%,55%
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,برنامج العناية والرعاية الشاملة,إدارة المشاريع وخدمات المستفيدين,السقيا,عدد عبوات الماء التي تم توزيعها,4850000,2394637,49%,55%
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,برنامج العناية والرعاية الشاملة,إدارة المشاريع وخدمات المستفيدين,وجبة اطعام,عدد وجبات إفطار صائم,1250000,908480,73%,82%
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,برنامج العناية والرعاية الشاملة,إدارة المشاريع وخدمات المستفيدين,وجبة اطعام,عدد الوجبات الجافة,151496,110028,73%,82%
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,برنامج العناية والرعاية الشاملة,إدارة المشاريع وخدمات المستفيدين,وجبة اطعام,عدد الوجبات المطهية,1975,2640,100%,82%
تقديم تجربة إيمانية وثقافية ثرية لضيوف الرحمن,برنامج العناية والرعاية الشاملة,إدارة المشاريع وخدمات المستفيدين,توقير لخدمة كبار السن,عدد خدمات توقير التي تم تقديمها,200000,24224,12%,12%
